,Kingdom,Phylum,Class,Order,Family,Genus,Species,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,Decay_type,Fruitbody_type,OTU_ID
OTU233,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Pseudotomentella,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/pseudotomentella,,,,corticioid,OTU233
OTU234,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia globosa,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,partly_aquatic,animal-associated/opportunistic_human_parasite,,yeast,none,none,,,,,,none,OTU234
OTU235,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora chaetospira,,soil_saprotroph,root_endophyte_dark_septate,"mycoparasite_some_species,animal_pathogen_some_species",root_endophyte_dark_septate,,soil,,non-aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,,OTU235
OTU236,Fungi,Ascomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU236
OTU237,Fungi,Rozellomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU237
OTU240,Fungi,Basidiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU240
OTU241,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU241
OTU242,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Pseudotomentella,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/pseudotomentella,,,,corticioid,OTU242
OTU243,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Pilodermataceae,Piloderma,Piloderma olivaceum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/piloderma,,,,corticioid,OTU243
OTU244,Fungi,Ascomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU244
OTU245,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,,Sistotrema,,,litter_saprotroph,,ectomycorrhizal_many_species,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/cantharellus,,,,corticioid,OTU245
OTU246,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,Oliveonia,Oliveonia pauxilla,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,,,,,,corticioid,OTU246
OTU247,Fungi,Ascomycota,Leotiomycetes,Helotiales,,Chalara,Chalara hyalocuspica,,litter_saprotroph,plant_pathogen,hypervariable,foliar_endophyte,"wood_pathogen,leaf/fruit/seed_pathogen","wood,leaf/fruit/seed",soft_rot,non-aquatic,,,filamentous_mycelium,None,none,,,,,soft_rot,None,OTU247
OTU248,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,Saitozyma podzolica,,soil_saprotroph,,,,,soil,,partly_aquatic,,,yeast,none,none,,,,,,none,OTU248
OTU249,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU249
OTU250,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Cryptosporiopsis,,,unspecified_saprotroph,,,,,,,non-aquatic,,,filamentous_mycelium,,,,,,,,,OTU250
OTU251,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU251
OTU255,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU255
OTU258,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,Hygrophorus chrysodon,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/hygrophorus,,,,agaricoid,OTU258
OTU259,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius variosimilis,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/cortinarius,,,,agaricoid,OTU259
OTU260,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Calocera,Calocera viscosa,,wood_saprotroph,,,,,wood,brown_rot,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,,,,,brown_rot,clavarioid,OTU260
OTU261,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius illibatus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/cortinarius,,,,agaricoid,OTU261
OTU262,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Neodidymelliopsis,Neodidymelliopsis ranunculi,,litter_saprotroph,,,,,leaf/fruit/seed,,,,,filamentous_mycelium,,,,,,,,,OTU262
OTU263,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,,,soil_saprotroph,root_endophyte_dark_septate,"mycoparasite_some_species,animal_pathogen_some_species",root_endophyte_dark_septate,,soil,,non-aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,,OTU263
OTU264,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,,,unspecified_saprotroph,foliar_endophyte,"toxin-producing,animal_parasite_some_species,mycoparasite_some_species",foliar_endophyte,,soil,mold,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,,,,,,,mold,,OTU264
OTU266,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Pseudotomentella,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/pseudotomentella,,,,corticioid,OTU266
OTU267,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Teratosphaeria,,,plant_pathogen,litter_saprotroph,,,wood_pathogen,"wood,leaf/fruit/seed",,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)",OTU267
OTU268,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU268
OTU269,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU269
OTU270,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,,,soil_saprotroph,epiphyte,,,,soil,,partly_aquatic,,,yeast,none,none,,,,,,none,OTU270
OTU271,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU271
OTU272,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU272
OTU273,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,,,ectomycorrhizal,,soil_saprotroph_ca_25%_of_species,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/paralyophyllum,,,,agaricoid,OTU273
OTU274,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU274
OTU275,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,,,agaricoid,OTU275
OTU276,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Scytalidium,,,wood_saprotroph,litter_saprotroph,animal_parasite_some_species_mycoparasite_some_species,,,"wood,leaf/fruit/seed,soil,animal_material",soft_rot,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,,,,,,,soft_rot,,OTU276
OTU277,Fungi,Ascomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU277
OTU278,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Meristemomyces,Meristemomyces frigidus,,litter_saprotroph,rock-inhabiting,,,,"leaf/fruit/seed,soil",,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)",OTU278
OTU279,Fungi,Basidiomycota,Agaricomycetes,Russulales,Lachnocladiaceae,Vararia,Vararia abortiphysa,,wood_saprotroph,,,,,wood,white_rot,non-aquatic,,,filamentous_mycelium,corticioid,smooth,,,,,white_rot,corticioid,OTU279
OTU280,Fungi,Kickxellomycota,Kickxellomycetes,Kickxellales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU280
OTU281,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU281
OTU282,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU282
OTU283,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU283
OTU284,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU284
OTU285,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU285
OTU286,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Flagelloscypha,Flagelloscypha minutissima,,litter_saprotroph,,wood_saprotroph_some_species,,,leaf/fruit/seed,,,,,filamentous_mycelium,cyphelloid,smooth,,,,,,cyphelloid,OTU286
OTU287,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,,,soil_saprotroph,root_endophyte,ericoid_mycorrhizal_O._maius,root_endophyte,root-associated,soil,,partly_aquatic,,,filamentous_mycelium,,,,,,,,,OTU287
OTU288,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU288
OTU290,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU290
OTU291,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU291
OTU292,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,,,soil_saprotroph,epiphyte,,,,soil,,partly_aquatic,,,yeast,none,none,,,,,,none,OTU292
OTU293,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,,,root_endophyte,soil_saprotroph,ectomycorrhizal_1%_species/ericoid_mycorrhizal_many_species/orchid_mycorrhizal,root_endophyte,,soil,,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU293
OTU295,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU295
OTU296,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,,,soil_saprotroph,root_endophyte,ericoid_mycorrhizal_O._maius,root_endophyte,root-associated,soil,,partly_aquatic,,,filamentous_mycelium,,,,,,,,,OTU296
OTU301,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU301
OTU302,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,Monodictys,Monodictys arctica,,lichen_parasite,foliar_endophyte,,foliar_endophyte,,"fungal_material,algal_material",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU302
OTU303,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera jadinii,,nectar/tap_saprotroph,animal_parasite,,,,"animal_material,sugar-rich_substrates",,partly_aquatic,animal_parasite/opportunistic_human_parasite,,yeast,none,none,,,,,,none,OTU303
OTU304,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota abieticola,,wood_saprotroph,litter_saprotroph,,,wood_pathogen,"wood,leaf/fruit/seed",white_rot,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,white_rot,agaricoid,OTU304
OTU305,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU305
OTU306,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,,,agaricoid,OTU306
OTU309,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza succosa,,soil_saprotroph,foliar_endophyte,ectomycorrhizal_many_species_in_several_lineages,foliar_endophyte,,soil,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface),OTU309
OTU310,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU310
OTU312,Fungi,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,,Sakaguchia,,,unspecified_saprotroph,,,no_endophytic_capacity,,,,partly_marine_(partly_non-aquatic),,,dimorphic_yeast,none,none,,,,,,none,OTU312
OTU313,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU313
OTU315,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU315
OTU316,Fungi,Kickxellomycota,Kickxellomycetes,Kickxellales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU316
OTU317,Fungi,Rozellomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU317
OTU318,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU318
OTU320,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,,,unspecified_saprotroph,,"hyperviariable,_thermophile,_some_species_animal_parasite_some_species_various_saprotrophs",,,"leaf/fruit/seed,soil,animal_material",mold,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,,,,,,,mold,,OTU320
OTU321,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hymenogaster,Hymenogaster parksii,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,short-distance_delicate,/hebeloma-alnicola,,,,gasteroid-hypogeous,OTU321
OTU322,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella clonocystis,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU322
OTU323,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU323
OTU324,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella,Dactylella mammillata,,wood_saprotroph,litter_saprotroph,,,,"wood,leaf/fruit/seed,soil,animal_material",,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface),OTU324
OTU326,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,Botryobasidium,Botryobasidium laeve,,wood_saprotroph,,,,,wood,white_rot,non-aquatic,,,filamentous_mycelium,corticioid,smooth,,,,,white_rot,corticioid,OTU326
OTU327,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,,,soil_saprotroph,unspecified_symbiotroph,CHEGD_symbiotrophs,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,,,,,,clavarioid,OTU327
OTU328,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopyxis,,,soil_saprotroph,litter_saprotroph,pyrophile,root-associated,root-associated,"leaf/fruit/seed,soil",,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface),OTU328
OTU332,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU332
OTU334,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU334
OTU335,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella globulifera,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU335
OTU336,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU336
OTU337,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Tylosporaceae,Amphinema,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/amphinema-tylospora,,,,corticioid,OTU337
OTU339,Fungi,Basidiomycota,Cystobasidiomycetes,Cyphobasidiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU339
OTU340,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Leucophleps,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_smooth,/albatrellus,,,,gasteroid-hypogeous,OTU340
OTU341,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU341
OTU342,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium nodositatum,,unspecified_saprotroph,foliar_endophyte,"toxin-producing,animal_parasite_some_species,mycoparasite_some_species",foliar_endophyte,,soil,mold,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,,,,,,,mold,,OTU342
OTU344,Fungi,Ascomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU344
OTU346,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Helicodendron,,,litter_saprotroph,,,,,leaf/fruit/seed,,partly_freshwater_(partly_non-aquatic),,,filamentous_mycelium,,,,,,,,,OTU346
OTU348,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU348
OTU350,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU350
OTU352,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,,,arbuscular_mycorrhizal,root-associated,,root_endophyte,,,,partly_freshwater_(partly_non-aquatic),,,filamentous_mycelium,none,none,,,,,,none,OTU352
OTU353,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU353
OTU354,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU354
OTU355,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU355
OTU358,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium aggregatocicatricatum,,litter_saprotroph,plant_pathogen,hypervariable,foliar_endophyte,leaf/fruit/seed_pathogen,"wood,leaf/fruit/seed,soil,dung,animal_material",,partly_aquatic,animal_parasite,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)",OTU358
OTU362,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU362
OTU363,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,Umbelopsis dimorpha,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",mold,non-aquatic,,,filamentous_mycelium,none,none,,,,,mold,none,OTU363
OTU364,Fungi,Ascomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU364
OTU365,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,,,unspecified_saprotroph,foliar_endophyte,"toxin-producing,animal_parasite_some_species,mycoparasite_some_species",foliar_endophyte,,soil,mold,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,,,,,,,mold,,OTU365
OTU366,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU366
OTU367,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU367
OTU368,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU368
OTU369,Fungi,Basidiomycota,Agaricomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU369
OTU370,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU370
OTU371,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU371
OTU372,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,,,litter_saprotroph,root-associated,wood_saprotroph_many_species,root-associated,leaf/fruit/seed_pathogen,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU372
OTU373,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Pleotrichocladium,Pleotrichocladium opacum,,wood_saprotroph,soil_saprotroph,,no_endophytic_capacity,,"wood,leaf/fruit/seed,soil",,partly_marine_(partly_non-aquatic),,,filamentous_mycelium,,,,,,,,,OTU373
OTU374,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,short-distance_delicate,/inocybe,,,,agaricoid,OTU374
OTU376,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU376
OTU377,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU377
