,Kingdom,Phylum,Class,Order,Family,Genus,Species,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,Decay_type,Fruitbody_type,OTU_ID
OTU2337,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2337
OTU2358,Fungi,Glomeromycota,Glomeromycetes,Glomerales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2358
OTU2359,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,,,litter_saprotroph,root-associated,wood_saprotroph_many_species,root-associated,leaf/fruit/seed_pathogen,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU2359
OTU2366,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Conocybe gigasperma,,soil_saprotroph,,litter_saprotroph_or_dung_saprotroph_some_species,,,soil,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU2366
OTU2374,Fungi,Mortierellomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2374
OTU2379,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2379
OTU2386,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys rosea,,wood_saprotroph,plant_pathogen,mycoparasite_and_litter_saprotroph_some_species,,leaf/fruit/seed_pathogen,"wood,leaf/fruit/seed,fungal_material,animal_material",,non-aquatic,nematophagous,,filamentous_mycelium,,,,,,,,,OTU2386
OTU2389,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,,,soil_saprotroph,,extremophile_xerophile_and_heat_resistant,,,soil,,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU2389
OTU2395,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2395
OTU2402,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2402
OTU2403,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Clitocybe,,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU2403
OTU2407,Fungi,Basidiomycota,Agaricomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2407
OTU2409,Fungi,Rozellomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2409
OTU2411,Fungi,Chytridiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2411
OTU2413,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2413
OTU2416,Fungi,Ascomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2416
OTU2421,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2421
OTU2434,Fungi,Ascomycota,Leotiomycetes,Helotiales,,Leptodontidium,,,litter_saprotroph,ericoid_mycorrhizal,,root_endophyte_dark_septate,,leaf/fruit/seed,,partly_aquatic,,,filamentous_mycelium,None,none,,,,,,None,OTU2434
OTU2439,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2439
OTU2441,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis californica,,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed_pathogen,leaf/fruit/seed,,partly_aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU2441
OTU2448,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2448
OTU2449,Fungi,Basidiomycota,Agaricomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2449
OTU2460,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2460
OTU2478,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2478
OTU2481,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,,,litter_saprotroph,plant_pathogen,,,leaf/fruit/seed_pathogen,leaf/fruit/seed,,partly_freshwater_(partly_non-aquatic),,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface),OTU2481
OTU2493,Fungi,Ascomycota,Leotiomycetes,Helotiales,,Xenopolyscytalum,,,litter_saprotroph,foliar_endophyte,,foliar_endophyte,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,,,,,,,,,OTU2493
OTU2495,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU2495
OTU2503,Fungi,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiaceae,Hysterangium,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,mat,/hysterangium,,,,gasteroid-hypogeous,OTU2503
OTU2514,Fungi,Chytridiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2514
OTU2532,Fungi,Basidiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU2532
